ZONE_NO,SUM_F0_14,SUM_F15_29,SUM_F30_64,SUM_F65_,SUM_TOTAL_POPULATION
1,0,28,104,0,132
2,0,4,18,0,22
3,30,13,119,4,166
4,105,967,2173,48,3293
5,97,1004,2422,69,3624
6,42,878,2197,38,3181
7,0,16,36,0,52
12,0,3,21,0,24
13,3395,3099,8593,101,15219
14,2055,8605,16570,285,27515
15,1979,5933,13849,258,22048
16,1048,4994,12595,373,19133
17,903,2040,5351,92,8413
18,252,534,1357,27,2170
19,0,0,0,0,0
20,133,344,360,9,846
21,21,532,1424,4,1981
22,3615,4074,10967,194,18850
23,4502,5322,15012,217,25123
24,5620,5824,15807,318,27569
25,7697,17232,40024,540,65652
26,4500,10869,27928,398,43695
27,4448,9675,24906,428,39612
28,342,599,1345,60,2346
29,0,1458,3439,18,4915
30,1708,1976,4068,190,7855
31,3509,4121,8985,318,16884
32,3055,4316,10938,335,18644
33,2755,2566,5696,231,11221
34,9455,9292,25060,652,44459
35,2830,2387,6388,189,11794
36,2540,1657,5211,136,9520
37,7147,6919,18778,419,33232
38,6630,7347,18812,349,33138
39,7139,7734,20729,475,36008
40,4736,4739,13407,550,23432
41,1533,1631,4453,231,7848
42,2839,3235,8939,448,15461
43,7156,7232,18733,785,33906
44,3992,4595,10933,455,19951
45,14185,16859,44596,1134,76721
46,5395,4380,12206,303,22260
47,4252,4599,10933,397,20181
48,255,154,514,6,929
49,9,678,1601,9,2238
50,667,665,1650,43,3025
51,24203,32403,71173,2181,129958
52,5560,6343,15759,531,28193
53,25325,28678,60392,1800,116197
54,10393,9938,22549,823,43703
55,53295,55474,113899,4079,226742
56,44651,60733,147274,2477,255140
57,190,91037,221638,889,313749
58,2,53,166,0,221
60,0,0,0,0,0
61,1840,1057,4736,143,7776
62,0,0,0,0,0
63,1706,1307,4302,195,7482
64,1084,948,2589,226,4847
65,1839,1501,4288,289,7894
66,8061,7123,23698,879,39688
67,2544,2542,5842,344,11248
68,2095,2406,4206,175,8830
69,2193,1739,4820,84,8836
70,21842,21958,45964,1483,91247
71,25744,41318,80447,2192,149701
72,151,425,1006,26,1608
73,416,684,1420,53,2573
74,14676,21604,54718,587,91585
75,2359,10400,29661,242,42662
76,263,1663,4231,49,6206
77,124,390,955,41,1510
78,586,655,1358,36,2635
79,1132,3496,7811,146,12585
80,4619,20134,42041,387,67178
81,5241,5480,8863,398,19982
82,558,21035,52868,115,74576
83,195,1002,2151,27,3375
84,154,324,1274,17,1769
85,171,1335,1794,31,3331
86,1398,2077,6692,35,10205
90,20949,22333,49549,1441,94268
91,28547,30703,74150,1081,134481
92,2532,6764,19982,52,29330
93,0,64,108,0,172
94,0,92,293,0,385
95,3,1578,4857,20,6462
96,102,1021,2121,16,3260
97,0,66,170,0,236
98,0,0,4,0,4
